batter,player_name
661531,Brian Serven
571740,Billy Hamilton
608703,Matt Reynolds
501303,Ehire Adrianza
571946,Shelby Miller
600303,Tommy La Stella
614177,Franmil Reyes
676625,Rylan Bannon
543482,Drew Maggi
602074,Yonathan Daza
613564,Jason Vosler
675986,Canaan Smith-Njigba
642201,Eli White
622250,Josh Sborz
669450,Cooper Hummel
668952,Ryan Kreidler
650619,Meibrys Viloria
665833,Oneil Cruz
547379,Roberto Pérez
640457,Austin Meadows
621311,David Dahl
